epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,7732.82,1.13012,0.83671,1.20684,0.71005,0.66304,0.68485,0.41403,1.34342,1.03296,1.22885,0.0008813,0.0008813,0.0008813
115,7810.61,1.1325,0.84322,1.20853,0.68172,0.71196,0.68488,0.4002,1.39238,1.10553,1.25703,0.0008714,0.0008714,0.0008714
116,7877.99,1.11381,0.83252,1.19022,0.70651,0.69565,0.66419,0.39193,1.38757,1.06251,1.21917,0.0008615,0.0008615,0.0008615
117,7945.94,1.12866,0.81895,1.20272,0.65174,0.74248,0.67607,0.38717,1.41302,1.10738,1.23503,0.0008516,0.0008516,0.0008516
118,8014.03,1.11564,0.83536,1.20009,0.66997,0.72816,0.68004,0.40141,1.35487,1.08067,1.23973,0.0008417,0.0008417,0.0008417
119,8082.8,1.12817,0.81647,1.19523,0.69311,0.71193,0.68001,0.4117,1.31048,1.08099,1.16914,0.0008318,0.0008318,0.0008318
120,8149.68,1.10564,0.84482,1.20334,0.65731,0.64633,0.61022,0.38759,1.3342,1.10378,1.227,0.0008219,0.0008219,0.0008219
121,8217.32,1.10432,0.81992,1.19378,0.58327,0.77174,0.65494,0.38645,1.3424,1.12503,1.18849,0.000812,0.000812,0.000812
122,8285.47,1.10078,0.81802,1.18372,0.60314,0.72283,0.63465,0.39046,1.32538,1.12014,1.21679,0.0008021,0.0008021,0.0008021
123,8352.94,1.10034,0.81891,1.1866,0.65148,0.65217,0.63996,0.386,1.33044,1.10615,1.19309,0.0007922,0.0007922,0.0007922
124,8420.21,1.11766,0.83738,1.20187,0.63954,0.65761,0.61993,0.37538,1.36558,1.137,1.23416,0.0007823,0.0007823,0.0007823
125,8487.88,1.09872,0.82629,1.18562,0.70062,0.63043,0.64249,0.37323,1.36452,1.11195,1.23448,0.0007724,0.0007724,0.0007724
126,8555.58,1.07639,0.80137,1.18748,0.66369,0.70109,0.66405,0.39209,1.32953,1.1304,1.1952,0.0007625,0.0007625,0.0007625
127,8622.29,1.09216,0.79112,1.16977,0.66202,0.65761,0.6247,0.37371,1.38704,1.09455,1.24752,0.0007526,0.0007526,0.0007526
128,8690.74,1.10954,0.80342,1.19834,0.64758,0.70109,0.66573,0.40381,1.3273,1.06225,1.18941,0.0007427,0.0007427,0.0007427
129,8759.75,1.0987,0.79876,1.18078,0.66007,0.69565,0.64014,0.38782,1.40272,1.10718,1.25109,0.0007328,0.0007328,0.0007328
130,8827.33,1.08537,0.8073,1.18012,0.67837,0.72217,0.66818,0.40535,1.36182,1.10552,1.21323,0.0007229,0.0007229,0.0007229
131,8891.3,1.07354,0.78647,1.17021,0.68213,0.71144,0.67288,0.40265,1.3738,1.1206,1.25857,0.000713,0.000713,0.000713
132,8954.66,1.12757,0.81316,1.19784,0.65812,0.70652,0.66657,0.41223,1.313,1.11763,1.19218,0.0007031,0.0007031,0.0007031
133,9020.02,1.11172,0.80795,1.18526,0.64079,0.70775,0.66591,0.40947,1.33127,1.09075,1.21045,0.0006932,0.0006932,0.0006932
134,9086.3,1.10275,0.7895,1.19016,0.66043,0.71879,0.68047,0.40906,1.34582,1.07795,1.21392,0.0006833,0.0006833,0.0006833
135,9152.12,1.09717,0.76538,1.1736,0.6697,0.72826,0.66447,0.39676,1.36132,1.0706,1.21826,0.0006734,0.0006734,0.0006734
136,9217.45,1.09856,0.82438,1.17696,0.64858,0.74457,0.67246,0.40737,1.33716,1.07785,1.21548,0.0006635,0.0006635,0.0006635
137,9282.58,1.0643,0.77685,1.16244,0.67723,0.67279,0.67458,0.40869,1.31399,1.06573,1.19741,0.0006536,0.0006536,0.0006536
138,9348.36,1.09322,0.81301,1.17598,0.65064,0.68478,0.6793,0.39265,1.3554,1.0901,1.21065,0.0006437,0.0006437,0.0006437
139,9411.58,1.07348,0.77622,1.17463,0.69146,0.69565,0.69145,0.41441,1.31722,1.06326,1.19654,0.0006338,0.0006338,0.0006338
